popularity,budget,cast,release_date,voteScore,revenue
32.985763,150000000,32,5,33372,1513528810
28.419936,150000000,43,5,43295,378436354
13.112507,110000000,38,3,14880,295238201
11.173104,200000000,51,4,37044,2068178225
9.335014,190000000,93,3,20629,1506249360
9.1107,135000000,41,4,27503,532950503
8.654359,155000000,52,5,12990,440603537
7.6674,108000000,89,1,32004,595380321
7.404165,74000000,58,5,17358,1156730962
6.326804,175000000,20,5,31480,853708609
6.200282,245000000,56,1,19524,880674609
6.189369,176000003,52,2,9685,183987723
6.118847,15000000,24,2,19978,36869414
5.984995,88000000,60,5,7875,243637091
5.944927,280000000,93,3,30128,1405035767
5.8984,44000000,85,4,16723,155760117
5.749758,48000000,79,2,9468,325771424
5.573184,130000000,58,5,26453,518602163
5.556818,95000000,49,3,8970,542351353
5.476958,160000000,76,4,14280,650523427
5.462138,190000000,39,5,11394,209035668
5.337064,30000000,61,5,9702,91709827
4.907832,110000000,53,5,12360,470490832
4.710402,40000000,10,2,9325,569651467
4.648046,28000000,98,4,10815,133346506
4.566713,150000000,72,5,16443,682330139
4.564549,68000000,60,5,9996,215863606
4.503789,81000000,97,2,26831,403802136
4.062293,20000000,63,4,10913,88346473
3.968891,61000000,20,1,11094,311256926
3.899557,49000000,17,3,11940,102069268
3.877764,29000000,25,5,7584,287506194
3.64821,40000000,55,1,11466,162610473
3.644541,58000000,30,2,3600,150170815
3.557846,6000000,32,1,12160,35401758
3.339135,175000000,29,4,6522,331926147
3.23737,50000000,74,3,4884,71561644
3.227329,11000000,19,4,5278,62076141
3.202719,28000000,5,2,6426,201634991
3.080505,90000000,60,1,4395,140396650
3.079522,30000000,71,1,6210,34441873
3.053421,75000000,21,2,10836,108145109
3.025852,25000000,56,3,8547,42629776
3.023253,10000000,22,1,1980,14333790
2.976436,135000000,39,3,6360,368871007
2.968254,12000000,6,5,7512,85512300
2.885126,4000000,77,1,3828,9064511
2.883233,11800000,37,4,3934,40272135
2.814802,35000000,91,1,8785,194564672
2.798017,55000000,59,1,7032,203427584
2.793297,60000000,90,4,6006,101134059
2.614499,105000000,34,4,2525,133718711
2.584264,20000000,46,1,3786,36606743
2.578919,26000000,52,5,4314,30523226
2.575711,60000000,106,2,3480,30418560
2.557859,15000000,36,4,6069,64191523
2.550747,70000000,26,2,2920,17752940
2.487849,30000000,54,1,10353,84025816
2.487042,120000001,32,2,6260,167977596
2.46449,3500000,5,3,3500,40423945
2.404473,65000000,53,5,11040,235666219
2.395366,50100000,30,2,10986,153962963
2.354654,35000000,12,2,4100,82347656
2.345821,100000000,52,4,4830,93820758
2.331567,35000000,44,4,8197,137935567
2.31767,35000000,18,5,5094,140795793
2.29573,13000000,38,1,1855,32848185
2.28135,25000000,35,1,3714,42972994
2.234573,150000000,47,1,2930,128388320
2.140199,99000000,5,4,2484,246233113
2.121884,35000000,48,4,3000,48623572
2.096273,25000000,56,4,2178,52395996
2.080935,2500000,35,5,1892,5214043
2.070708,34000000,14,3,4977,63013281
2.060162,80000000,71,1,5514,466183544
2.055572,17000000,82,4,555,24000000
2.049886,35000000,49,1,4236,61181942
2.026651,11000000,12,2,1630,1863315
2.000338,31000000,36,5,5076,104384188
1.984529,35000000,21,5,2945,95437994
1.980039,4000000,45,5,1920,187112
1.95632,50000000,48,3,1705,3324330
1.926739,5000000,38,5,3786,58978653
1.904898,50000000,62,4,2840,240360392
1.865007,64000000,90,5,2961,97571250
1.82313,11930000,39,1,1182,18340000
1.758618,8500000,9,2,4518,43528634
1.742286,10000000,9,2,1655,52882018
