popularity,budget,cast,release_date,voteScore,revenue,runtime,release_year,genres
32.985763,150000000,0,5,33372,1513528810,124.0,2015.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
28.419936,150000000,1,5,43295,378436354,120.0,2015.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
13.112507,110000000,1,3,14880,295238201,119.0,2015.0,"['Adventure', 'Science Fiction', 'Thriller']"
11.173104,200000000,0,4,37044,2068178225,136.0,2015.0,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
9.335014,190000000,0,3,20629,1506249360,137.0,2015.0,"['Action', 'Crime', 'Thriller']"
9.1107,135000000,1,4,27503,532950503,156.0,2015.0,"['Western', 'Drama', 'Adventure', 'Thriller']"
8.654359,155000000,1,5,12990,440603537,125.0,2015.0,"['Science Fiction', 'Action', 'Thriller', 'Adventure']"
7.6674,108000000,0,1,32004,595380321,141.0,2015.0,"['Drama', 'Adventure', 'Science Fiction']"
7.404165,74000000,2,5,17358,1156730962,91.0,2015.0,"['Family', 'Animation', 'Adventure', 'Comedy']"
6.326804,175000000,0,5,31480,853708609,94.0,2015.0,"['Comedy', 'Animation', 'Family']"
6.200282,245000000,2,1,19524,880674609,148.0,2015.0,"['Action', 'Adventure', 'Crime']"
6.189369,176000003,1,2,9685,183987723,124.0,2015.0,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']"
6.118847,15000000,1,2,19978,36869414,108.0,2015.0,"['Drama', 'Science Fiction']"
5.984995,88000000,0,5,7875,243637091,105.0,2015.0,"['Action', 'Comedy', 'Science Fiction']"
5.944927,280000000,0,3,30128,1405035767,141.0,2015.0,"['Action', 'Adventure', 'Science Fiction']"
5.8984,44000000,0,4,16723,155760117,167.0,2015.0,"['Crime', 'Drama', 'Mystery', 'Western']"
5.749758,48000000,1,2,9468,325771424,109.0,2015.0,"['Crime', 'Action', 'Thriller']"
5.573184,130000000,1,5,26453,518602163,115.0,2015.0,"['Science Fiction', 'Action', 'Adventure']"
5.556818,95000000,2,3,8970,542351353,112.0,2015.0,"['Romance', 'Fantasy', 'Family', 'Drama']"
5.476958,160000000,1,4,14280,650523427,136.0,2015.0,"['War', 'Adventure', 'Science Fiction']"
5.462138,190000000,1,5,11394,209035668,130.0,2015.0,"['Action', 'Family', 'Science Fiction', 'Adventure', 'Mystery']"
5.337064,30000000,1,5,9702,91709827,123.0,2015.0,"['Action', 'Drama']"
4.907832,110000000,0,5,12360,470490832,114.0,2015.0,"['Action', 'Drama', 'Thriller']"
4.710402,40000000,0,2,9325,569651467,125.0,2015.0,"['Drama', 'Romance']"
4.648046,28000000,2,4,10815,133346506,130.0,2015.0,"['Comedy', 'Drama']"
4.566713,150000000,0,5,16443,682330139,131.0,2015.0,['Action']
4.564549,68000000,0,5,9996,215863606,115.0,2015.0,['Comedy']
4.503789,81000000,3,2,26831,403802136,130.0,2015.0,"['Crime', 'Comedy', 'Action', 'Adventure']"
4.062293,20000000,0,4,10913,88346473,128.0,2015.0,"['Drama', 'Thriller', 'History']"
3.968891,61000000,0,1,11094,311256926,132.0,2015.0,"['Action', 'Science Fiction', 'Thriller']"
3.899557,49000000,0,3,11940,102069268,120.0,2015.0,"['Crime', 'Action', 'Science Fiction']"
3.877764,29000000,0,5,7584,287506194,115.0,2015.0,"['Comedy', 'Music']"
3.64821,40000000,3,1,11466,162610473,141.0,2015.0,"['Thriller', 'Drama']"
3.644541,58000000,0,2,3600,150170815,103.0,2015.0,"['Adventure', 'Horror', 'Comedy']"
3.557846,6000000,1,1,12160,35401758,117.0,2015.0,"['Drama', 'Thriller']"
3.339135,175000000,2,4,6522,331926147,93.0,2015.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
3.23737,50000000,0,3,4884,71561644,114.0,2015.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
3.227329,11000000,0,4,5278,62076141,111.0,2015.0,"['Drama', 'Romance']"
3.202719,28000000,0,2,6426,201634991,147.0,2015.0,"['Drama', 'Music']"
3.080505,90000000,2,1,4395,140396650,106.0,2015.0,"['Fantasy', 'Action', 'Adventure']"
3.079522,30000000,1,1,6210,34441873,122.0,2015.0,"['History', 'Drama']"
3.053421,75000000,1,2,10836,108145109,116.0,2015.0,"['Comedy', 'Action', 'Adventure']"
3.025852,25000000,1,3,8547,42629776,112.0,2015.0,"['Fantasy', 'Drama', 'Romance']"
3.023253,10000000,0,1,1980,14333790,97.0,2015.0,"['Action', 'Adventure', 'Science Fiction']"
2.976436,135000000,0,3,6360,368871007,94.0,2015.0,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']"
2.968254,12000000,0,5,7512,85512300,109.0,2015.0,"['Drama', 'Mystery', 'Romance']"
2.885126,4000000,1,1,3828,9064511,118.0,2015.0,"['Thriller', 'Comedy', 'Drama', 'Romance', 'Science Fiction']"
2.883233,11800000,2,4,3934,40272135,118.0,2015.0,"['Romance', 'Drama']"
2.814802,35000000,3,1,8785,194564672,121.0,2015.0,['Comedy']
2.798017,55000000,0,1,7032,203427584,121.0,2015.0,"['Adventure', 'Drama']"
2.793297,60000000,3,4,6006,101134059,124.0,2015.0,"['Comedy', 'Drama']"
2.614499,105000000,0,4,2525,133718711,114.0,2015.0,"['Action', 'Crime', 'Thriller']"
2.584264,20000000,1,1,3786,36606743,100.0,2015.0,['Drama']
2.578919,26000000,1,5,4314,30523226,116.0,2015.0,"['Science Fiction', 'Mystery', 'Thriller']"
2.575711,60000000,1,2,3480,30418560,106.0,2015.0,"['Comedy', 'Adventure']"
2.557859,15000000,2,4,6069,64191523,120.0,2015.0,['Drama']
2.550747,70000000,1,2,2920,17752940,133.0,2015.0,"['Mystery', 'Crime', 'Action', 'Thriller', 'Drama']"
2.487849,30000000,0,1,10353,84025816,121.0,2015.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
2.487042,120000001,0,2,6260,167977596,100.0,2015.0,"['Action', 'Adventure', 'Science Fiction']"
2.46449,3500000,0,3,3500,40423945,92.0,2015.0,"['Mystery', 'Horror']"
2.404473,65000000,0,5,11040,235666219,120.0,2015.0,"['Action', 'Comedy', 'Crime']"
2.395366,50100000,0,2,10986,153962963,105.0,2015.0,"['Romance', 'Comedy', 'Crime', 'Drama']"
2.354654,35000000,0,2,4100,82347656,96.0,2015.0,"['Action', 'Crime', 'Thriller']"
2.345821,100000000,0,4,4830,93820758,122.0,2015.0,"['Thriller', 'Drama', 'Adventure', 'Action', 'History']"
2.331567,35000000,0,4,8197,137935567,133.0,2015.0,['Drama']
2.31767,35000000,1,5,5094,140795793,125.0,2015.0,['Comedy']
2.29573,13000000,1,1,1855,32848185,102.0,2015.0,"['Drama', 'Thriller', 'War']"
2.28135,25000000,0,1,3714,42972994,131.0,2015.0,"['Crime', 'Thriller']"
2.234573,150000000,0,1,2930,128388320,111.0,2015.0,"['Adventure', 'Family', 'Fantasy']"
2.140199,99000000,0,4,2484,246233113,88.0,2015.0,"['Adventure', 'Animation', 'Comedy', 'Family']"
2.121884,35000000,0,4,3000,48623572,123.0,2015.0,['Drama']
2.096273,25000000,0,4,2178,52395996,100.0,2015.0,['Comedy']
